t,est_px,est_py,vo_nis,vo_trust,vo_infl,w_nis,w_trust,w_infl
1.370000000000000000e+02,1.395307293122508874e+01,6.765260913254158126e+00,2.977318378547837430e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.097073704641878145e+00,9.662959312144588919e-01,1.035997239400393344e+00
1.380000000000000000e+02,1.406204318128293629e+01,6.827216523131508730e+00,1.128916235736654228e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.210261466414408105e+01,9.307223508637784137e-01,1.034879655079558480e+00
1.390000000000000000e+02,1.411754492608362099e+01,6.876061774422971062e+00,3.322126567001149500e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.576194413373781522e+00,9.328006803378650069e-01,1.074434281149396320e+00
1.400000000000000000e+02,1.425680888892805420e+01,6.917274368963242992e+00,7.523925118709241744e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.090558876813882527e+00,9.348166599277291100e-01,1.072040384487922049e+00
1.410000000000000000e+02,1.434881123081116705e+01,6.979964283341593578e+00,9.852178624906654525e-02,1.000000000000000000e+00,1.000000000000000000e+00,4.595423270908554514e+00,9.367721601298972800e-01,1.069728474968888898e+00
1.420000000000000000e+02,1.445405961326138211e+01,7.027730927928703686e+00,3.163009548793085934e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.556057520107284819e+00,9.386689953260003438e-01,1.067495430117538113e+00
1.430000000000000000e+02,1.455955645237470364e+01,7.088984395112034598e+00,3.906128263475000528e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.578226907424458814e+00,9.405089254662203357e-01,1.065338266182638050e+00
1.440000000000000000e+02,1.464696836167773775e+01,7.130168946585761169e+00,2.163054371318494429e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.064841284787913622e+00,9.422936577022337223e-01,1.063254130740215242e+00
1.450000000000000000e+02,1.471449350233304187e+01,7.177267191773645472e+00,1.702758177733870504e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.365934600479551619e+00,9.405118795162326073e-01,1.061240295767756914e+00
1.460000000000000000e+02,1.481684244755642688e+01,7.225114663098115564e+00,1.343296926882985076e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.829841695148036074e+00,9.422965231307456335e-01,1.063250791169555454e+00
1.470000000000000000e+02,1.492703807712984343e+01,7.236290739210009093e+00,9.206691023619621106e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.889373247054388472e+00,9.440276274368232245e-01,1.061237068643251069e+00
1.480000000000000000e+02,1.503675183286409656e+01,7.284566705292860433e+00,1.221559356160807575e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.231163773073672196e+00,9.457067986137185356e-01,1.059291032313482317e+00
1.490000000000000000e+02,1.513244681535471514e+01,7.342239016528272266e+00,4.234397088923737562e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.141334592912065737e+00,9.473355946553070339e-01,1.057410184071710280e+00
1.500000000000000000e+02,1.521415025863253412e+01,7.410112998641428916e+00,3.228294303940981713e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.144193357484189377e+00,9.489155268156478362e-01,1.055592131913775766e+00
1.510000000000000000e+02,1.530872090935505980e+01,7.446232568525142703e+00,5.740093469682404637e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.475661536612171254e+00,9.504480610111784022e-01,1.053834584576543332e+00
1.520000000000000000e+02,1.541618039182761279e+01,7.490898735412533149e+00,3.092084949012746442e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.684853876925203053e+00,9.519346191808431001e-01,1.052135346497633295e+00
1.530000000000000000e+02,1.554061858203433744e+01,7.566584857096918526e+00,4.874515766302513597e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.504930902721196340e+00,9.533765806054178560e-01,1.050492313075574558e+00
1.540000000000000000e+02,1.566386884942471802e+01,7.614636243112308023e+00,1.621021024499918584e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.513297433294356620e-01,9.547752831872553525e-01,1.048903466209517132e+00
1.550000000000000000e+02,1.577776747222417164e+01,7.660640911684843957e+00,2.018051243228838665e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.326892062589567267e+00,9.561320246916377164e-01,1.047366870099291081e+00
1.560000000000000000e+02,1.587589785058107950e+01,7.708546585857719791e+00,1.844346137551159170e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.231719637618393115e+01,9.183643514484515213e-01,1.045880667288087373e+00
1.570000000000000000e+02,1.597359917561487563e+01,7.761471172163292742e+00,3.426287316895261226e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.352475330709837387e+00,9.208134209049979590e-01,1.088892440590482513e+00
